StateAb,Ticket,CandidateNm,PartyNm,BallotPosition
SA,J,"BYRNE, Cathy",Australian Federation Party,1
SA,J,"DUFFIELD, Nick",Australian Federation Party,2
SA,K,"YAZBEK, Roger",Australian Democrats,1
SA,K,"KANCK, Sandra",Australian Democrats,2
SA,L,"YARMUHAMMAD, Adila",Drew Pavlou Democratic Alliance,1
SA,L,"YARMUHAMMAD, Amina",Drew Pavlou Democratic Alliance,2
SA,M,"KAUR, Harmeet",,1
SA,M,"KUMAR, Rajesh",,2
SA,N,"WOLFENDALE, Drew","FUSION: Science, Pirate, Secular, Climate Emergency",1
SA,N,"KENNEDY, David","FUSION: Science, Pirate, Secular, Climate Emergency",2
SA,O,"XENOPHON, Nick",,1
SA,O,"GRIFF, Stirling",,2
SA,P,"POCOCK, Barbara",The Greens,1
SA,P,"SUMNER, Major Moogy",The Greens,2
SA,P,"SELWOOD, Melanie",The Greens,3
SA,Q,"CRUISE, Raina",Informed Medical Options Party,1
SA,Q,"HARLEY, Heather",Informed Medical Options Party,2
SA,R,"PATRICK, Rex",Rex Patrick Team,1
SA,R,"McMAHON, Leonie",Rex Patrick Team,2
SA,S,"GAME, Jennifer",Pauline Hanson's One Nation,1
SA,S,"WATCHMAN, Alan",Pauline Hanson's One Nation,2
SA,T,"GREEN, Tyler Bradley",Legalise Cannabis Australia,1
SA,T,"ADAMS, Angela",Legalise Cannabis Australia,2
SA,U,"ARBON, Michael",United Australia Party,1
SA,U,"SCHILD, Caelum",United Australia Party,2
SA,V,"FRANCIS, Russell",Citizens Party,1
SA,V,"CURREY, Rodney",Citizens Party,2
SA,UG,"HOPPER, Michael",Independent,1
TAS,A,"DUDLEY, Todd",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
TAS,A,"LOCKWOOD, Daria",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
TAS,B,"MAV, Steve",Pauline Hanson's One Nation,1
TAS,B,"BUTTON, Norelle",Pauline Hanson's One Nation,2
TAS,C,"DAVIS, Ivan",Animal Justice Party,1
TAS,C,"THOMAS-WURTH, Virginia",Animal Justice Party,2
TAS,D,"URQUHART, Anne",Australian Labor Party,1
TAS,D,"POLLEY, Helen",Australian Labor Party,2
TAS,D,"RAINBIRD, Kate",Australian Labor Party,3
TAS,D,"HULME, Daniel",Australian Labor Party,4
TAS,D,"ROBERTS, Wayne",Australian Labor Party,5
TAS,D,"GOURLAY, Chris",Australian Labor Party,6
TAS,E,"OWEN, Matt",Legalise Cannabis Australia,1
TAS,E,"FITZGIBBON, Oliver",Legalise Cannabis Australia,2
TAS,F,"WILLIAMS, Ray","Shooters, Fishers and Farmers Party",1
TAS,F,"DI FALCO, Carlo","Shooters, Fishers and Farmers Party",2
TAS,F,"JONES, Brenton Ronald","Shooters, Fishers and Farmers Party",3
TAS,G,"BROOMHALL, Ray",Australian Federation Party,1
TAS,G,"STRINGER, Justin",Australian Federation Party,2
TAS,H,"MINSHULL, Leanne",The Local Party,1
TAS,H,"POULTON, Linda",The Local Party,2
TAS,H,"VAN RAAY, Lara",The Local Party,3
TAS,I,"WHISH-WILSON, Peter",The Greens,1
TAS,I,"BLEYER, Vanessa",The Greens,2
TAS,I,"BADGER, Tabatha",The Greens,3
TAS,J,"FIELD, Topher",Liberal Democrats,1
TAS,J,"CROFT, Chris",Liberal Democrats,2
TAS,K,"ADAMS, Diana",United Australia Party,1
TAS,K,"HENNESSY, Alan",United Australia Party,2
TAS,L,"DUNIAM, Jonno",Liberal,1
TAS,L,"ASKEW, Wendy",Liberal,2
TAS,L,"ABETZ, Eric",Liberal,3
TAS,M,"TYRRELL, Tammy",Jacqui Lambie Network,1
TAS,M,"GROAT, Sarah",Jacqui Lambie Network,2
TAS,M,"LAMBIE, Tom",Jacqui Lambie Network,3
TAS,N,"KERSHAW, Lynne",Informed Medical Options Party,1
TAS,N,"PICKERING, Matthew",Informed Medical Options Party,2
TAS,UG,"CROTHERS, Steve",Independent,1
TAS,UG,"EDWARDS, Fenella",Independent,2
VIC,A,"VEGA, Yolanda",Reason Australia,1
VIC,A,"MILLWARD, Harry",Reason Australia,2
VIC,B,"RICHARDSON, Damien",,1
VIC,B,"McBRIDE, John",,2
VIC,C,"GREEN, Leonie",Australian Democrats,1
VIC,C,"JAGOE, Stephen Peter",Australian Democrats,2
VIC,D,"HENDERSON, Sarah",Liberal,1
VIC,D,"McKENZIE, Bridget",The Nationals,2
VIC,D,"MIRABELLA, Greg",Liberal,3
VIC,D,"KMETJ, Chrestyna",Liberal,4
VIC,D,"HARRINGTON, Mick",The Nationals,5
VIC,D,"BURGESS, David",Liberal,6
VIC,E,"SMITH, Elissa",Legalise Cannabis Australia,1
VIC,E,"TAYLOR, Wayne",Legalise Cannabis Australia,2
VIC,F,"WEARNE, Madeleine",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
VIC,F,"LONG, Robert",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
VIC,G,"BURSON, Chris",Australian Values Party,1
VIC,G,"ASSER, Samantha",Australian Values Party,2
VIC,H,"HINCH, Derryn",Derryn Hinch's Justice Party,1
VIC,H,"STANFIELD, Ruth",Derryn Hinch's Justice Party,2
VIC,I,"CURRIE, Bronwyn",Animal Justice Party,1
VIC,I,"DELFORCE, Chris",Animal Justice Party,2
VIC,J,"PITT, Antoinette",Australian Progressives,1
VIC,J,"KNIGHT, David",Australian Progressives,2
VIC,K,"WHITE, Linda",Australian Labor Party,1
VIC,K,"STEWART, Jana",Australian Labor Party,2
VIC,K,"NUNN, Casey",Australian Labor Party,3
VIC,K,"BRIDGER-DARLING, Megan",Australian Labor Party,4
VIC,K,"McFARLANE, Josh",Australian Labor Party,5
VIC,L,"BABET, Ralph",United Australia Party,1
VIC,L,"MORAN, Kelly",United Australia Party,2
VIC,L,"GRIMMOND, Kenneth",United Australia Party,3
VIC,M,"DANCE, Felix",Socialist Alliance,1
VIC,M,"CARR, Angela",Socialist Alliance,2
VIC,N,"HUGHES, Vern",Australian Federation Party,1
VIC,N,"KIM, Karen",Australian Federation Party,2
VIC,N,"LACEY, Cheryl",Australian Federation Party,3
VIC,N,"MARA, Chris",Australian Federation Party,4
VIC,N,"SEWAK, Neerja",Australian Federation Party,5
VIC,N,"O'CONNELL, Mark",Australian Federation Party,6
VIC,O,"CONSTANTINOU, Ethan","Shooters, Fishers and Farmers Party",1
VIC,O,"BOURMAN, Nicole","Shooters, Fishers and Farmers Party",2
VIC,P,"PICKERING, Warren",Pauline Hanson's One Nation,1
VIC,P,"HUXHAM, Stuart",Pauline Hanson's One Nation,2
VIC,Q,"BARWICK, Robbie",Citizens Party,1
VIC,Q,"ISHERWOOD, Craig",Citizens Party,2
VIC,R,"JONAS, Morgan C",,1
VIC,R,"SMIT, Monica",,2
VIC,S,"CORDNER HUNT, Kammy","FUSION: Science, Pirate, Secular, Climate Emergency",1
VIC,S,"FARRANT, Tahlia","FUSION: Science, Pirate, Secular, Climate Emergency",2
VIC,T,"BENEDYKA, Susan",,1
VIC,T,"RICHARDS, Christine",,2
VIC,U,"THORPE, Lidia",The Greens,1
VIC,U,"FROGLEY, Adam",The Greens,2
VIC,U,"AUSTIN, Sissy",The Greens,3
VIC,U,"PAYNE, Zeb",The Greens,4
VIC,V,"O'BRYAN, Darryl",The Great Australian Party,1
VIC,V,"WHITEHEAD, Geoff",The Great Australian Party,2
VIC,W,"LIMBRICK, David",Liberal Democrats,1
VIC,W,"MITCHELL, Krystle",Liberal Democrats,2
VIC,W,"WHITE, Caroline",Liberal Democrats,3
VIC,X,"CLONARIDIS, Nick",Informed Medical Options Party,1
VIC,X,"CURNOW, Robyn",Informed Medical Options Party,2
VIC,Y,"BYRNE, Peter",,1
VIC,Y,"WARDLE, Jason",,2
VIC,Z,"MYLVAGANAM, Aran",Victorian Socialists,1
VIC,Z,"RICCARDI, Laura",Victorian Socialists,2
VIC,UG,"FLOYD, Glenn",Independent,1
VIC,UG,"RIDGEWAY, Allen",Independent,2
VIC,UG,"BOND, James",Independent,3
VIC,UG,"SMITH, Neal",Independent,4
VIC,UG,"DICKS, Max",Independent,5
VIC,UG,"ATKINSON, Bernardine",Independent,6
VIC,UG,"ROSS, Paul",Independent,7
VIC,UG,"DE FRANCESCO, Nat",Independent,8
VIC,UG,"TOSCANO, Joseph",Independent,9
VIC,UG,"TRAN, Tara",Independent,10
VIC,UG,"DILLON, David John",Independent,11
VIC,UG,"GONSALVEZ, Geraldine Marie Antoinette",Independent,12
WA,A,"COX, Dorinda",The Greens (WA),1
WA,A,"CLARKE, River",The Greens (WA),2
WA,A,"COLLINS, Simone",The Greens (WA),3
WA,A,"CLARKE, Donald",The Greens (WA),4
WA,A,"CAHILL, Jordan",The Greens (WA),5
WA,A,"WALLACE, Alex",The Greens (WA),6
WA,B,"CRICHTON, Mike",Australian Christians,1
WA,B,"GROENEWALD, Maryka",Australian Christians,2
WA,C,"McDONALD, James",United Australia Party,1
WA,C,"FORSTER, Rob",United Australia Party,2
WA,D,"LINES, Sue",Australian Labor Party,1
WA,D,"STERLE, Glenn",Australian Labor Party,2
WA,D,"PAYMAN, Fatima",Australian Labor Party,3
WA,D,"HELPS, Vicki",Australian Labor Party,4
WA,E,"OBORN, Karen",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
WA,E,"OOSTRYCK, Ryan",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
WA,F,"MITCHELL, Elana",Australian Democrats,1
WA,F,"SIMSON, Simon",Australian Democrats,2
WA,G,"FILING, Paul Anthony",Pauline Hanson's One Nation,1
WA,G,"MUNDY, Sheila",Pauline Hanson's One Nation,2
WA,H,"HARLEY, Petrina",Socialist Alliance,1
WA,H,"SALMON, Alex",Socialist Alliance,2
WA,I,"JOHNSON, Nicola Julia",Legalise Cannabis Australia,1
WA,I,"PEET, Aaron",Legalise Cannabis Australia,2
WA,J,"CULLETON, Rodney Norman",The Great Australian Party,1
WA,J,"VINCI, Samantha Lee",The Great Australian Party,2
WA,K,"GEORGATOS, Gerry",,1
WA,K,"KRAKOUER, Megan",,2
WA,L,"FANTINEL, Kate",Liberal Democrats,1
WA,L,"McLOUGHLIN, Peter",Liberal Democrats,2
WA,M,"KINSELLA, Michelle",Informed Medical Options Party,1
WA,M,"LOCKYER, Leanne",Informed Medical Options Party,2
WA,N,"PIZZEY, Rebecca",Australian Values Party,1
WA,N,"FITZPATRICK, Kathy",Australian Values Party,2
WA,O,"DORN, Amanda",Animal Justice Party,1
WA,O,"McCASKER, Elizabeth Gay",Animal Justice Party,2
WA,P,"TINLEY, Cam",,1
WA,P,"AYRE, Tricia",,2
WA,Q,"WILYMAN, Judy",Australian Federation Party,1
WA,Q,"BARRETT, Leanne",Australian Federation Party,2
WA,R,"CASH, Michaelia",Liberal,1
WA,R,"SMITH, Dean",Liberal,2
WA,R,"SMALL, Ben",Liberal,3
WA,R,"SUFI, Sherry",Liberal,4
WA,S,"VILJOEN, Tim","FUSION: Science, Pirate, Secular, Climate Emergency",1
WA,S,"WOODINGS, Adam","FUSION: Science, Pirate, Secular, Climate Emergency",2
WA,T,"McDOWALL, Matthew",WESTERN AUSTRALIA PARTY,1
WA,T,"MATHESON, Julie",WESTERN AUSTRALIA PARTY,2
WA,U,"BRAILEY, Denise",Citizens Party,1
WA,U,"ROBINSON, Jean",Citizens Party,2
WA,V,"COUNT, Matthew",Federal ICAC Now,1
WA,V,"WATKINS, Dianne",Federal ICAC Now,2
WA,UG,"MURPHY, Ziggi",Independent,1
WA,UG,"BUCKLE, Ashley",Independent,2
WA,UG,"McDONALD, Peter Robert",Independent,3
WA,UG,"VAGH, Yunous",Independent,4
WA,UG,"BURDETT, Bob",Seniors United Party of Australia,5
WA,UG,"PEGRUM, Valentine",Independent,6
